"PCNM2","PCNM4","PCNM8"
0.0703251353092194,0.117600141351563,0.193836205497194
0.130088992476732,0.198727900149451,0.225677831588145
0.174300620628001,0.223630916962591,0.0710366762426042
0.199267854052103,0.186245997807815,-0.151158539893183
0.202905649356615,0.0956753337401775,-0.270025798189063
0.184910209924033,-0.0260296302468532,-0.194148742344101
0.146784356329041,-0.149237110546306,0.018118425890679
0.0917120240028682,-0.243949502496939,0.203528977680668
0.0242923689942226,-0.287106965224235,0.219490602011206
-0.0498443130286751,-0.268201853397494,0.0537278114363705
-0.124506779473493,-0.191837037469685,-0.16627744029248
-0.193459878864757,-0.0766052323690188,-0.271327354147635
-0.25094525576794,0.0494378129726232,-0.180631975922689
-0.292162237908426,0.155604112442158,0.0360582758943507
-0.313668746029463,0.216045116324149,0.212095044547939
-0.313668746029468,0.216045116324149,0.212095044547936
-0.292162237908438,0.155604112442157,0.0360582758943421
-0.250945255767956,0.04943781297262,-0.180631975922696
-0.193459878864776,-0.0766052323690244,-0.271327354147634
-0.124506779473512,-0.191837037469692,-0.166277440292471
-0.0498443130286939,-0.2682018533975,0.0537278114363791
0.0242923689942059,-0.287106965224239,0.219490602011208
0.0917120240028562,-0.243949502496938,0.203528977680661
0.146784356329032,-0.149237110546302,0.0181184258906696
0.184910209924024,-0.0260296302468471,-0.194148742344105
0.202905649356607,0.0956753337401848,-0.27002579818906
0.199267854052096,0.186245997807821,-0.151158539893177
0.174300620627996,0.223630916962596,0.0710366762426068
0.130088992476729,0.198727900149455,0.225677831588144
0.0703251353092175,0.117600141351565,0.193836205497192
